期号,日期,号码1,号码2,号码3,号码4,号码5,号码6,号码7,号码8,号码9,号码10,号码11,号码12,号码13,号码14,号码15,号码16,号码17,号码18,号码19,号码20
2026021,2026-01-21,04,05,06,09,10,11,14,19,21,31,34,43,45,48,51,53,56,60,65,70
2026020,2026-01-20,07,13,18,22,24,30,32,33,37,43,47,48,52,62,63,67,69,73,78,79
2026019,2026-01-19,16,20,21,23,24,37,48,51,52,53,54,59,60,62,66,68,75,76,77,78
2026018,2026-01-18,11,12,14,15,18,21,22,23,29,32,33,35,40,41,55,65,69,74,75,78
2026017,2026-01-17,11,15,28,33,36,37,38,46,47,50,51,52,61,62,63,67,68,71,73,80
2026016,2026-01-16,04,19,24,27,28,35,36,38,39,45,50,56,58,59,60,61,64,66,73,78
2026015,2026-01-15,02,08,09,11,14,17,18,19,27,29,31,34,36,41,55,60,64,70,72,79
2026014,2026-01-14,06,12,13,14,18,24,28,29,30,34,38,43,49,52,59,60,64,74,78,80
2026013,2026-01-13,01,05,09,10,11,12,14,15,16,22,28,32,37,41,44,64,72,77,78,80
2026012,2026-01-12,04,11,12,15,16,20,21,26,27,28,30,32,33,41,53,60,62,64,65,76
2026011,2026-01-11,01,03,12,16,22,25,27,30,32,49,52,56,59,61,62,63,66,68,69,79
2026010,2026-01-10,06,07,13,16,19,27,33,37,39,42,43,44,55,59,62,64,65,67,76,80
2026009,2026-01-09,03,04,08,17,18,31,34,37,42,46,47,55,56,61,65,70,74,75,76,80
2026008,2026-01-08,02,04,15,20,21,23,24,34,47,50,51,52,57,58,60,61,66,71,77,79
2026007,2026-01-07,03,13,15,18,20,21,25,32,42,43,45,54,57,62,63,68,72,74,76,80
2026006,2026-01-06,03,05,07,09,19,28,30,32,34,38,49,52,56,61,62,66,73,76,78,79
2026005,2026-01-05,07,08,09,14,18,21,24,26,33,35,41,43,49,54,56,59,60,63,68,76
2026004,2026-01-04,04,05,09,13,16,21,23,24,32,35,37,38,45,50,52,54,55,62,63,64
2026003,2026-01-03,02,07,14,16,22,25,28,31,39,42,47,53,54,55,61,68,69,72,73,78
2026002,2026-01-02,03,08,10,17,22,24,25,28,39,51,61,62,67,69,70,71,72,73,74,80
2026001,2026-01-01,02,05,06,11,24,25,27,32,34,35,39,41,44,51,54,62,70,71,72,75
2025351,2025-12-31,05,12,14,17,19,21,24,25,31,32,39,42,46,49,50,52,57,63,68,72
2025350,2025-12-30,01,05,06,20,24,30,32,33,35,36,37,38,40,52,55,62,64,70,72,76
2025349,2025-12-29,07,08,18,20,22,23,28,40,41,43,45,47,48,51,53,58,64,67,78,80
2025348,2025-12-28,02,19,20,22,24,25,30,33,35,39,41,49,53,54,55,60,63,66,75,80
2025347,2025-12-27,03,10,11,14,17,20,22,28,34,40,45,46,48,51,55,56,67,71,72,73
2025346,2025-12-26,03,06,08,13,14,23,25,26,28,30,33,38,40,41,42,48,51,56,68,69
2025345,2025-12-25,06,10,11,12,14,19,30,32,35,38,39,41,43,45,46,48,61,67,76,79
2025344,2025-12-24,01,04,06,11,12,20,23,26,30,33,37,40,44,50,52,53,67,68,72,73
2025343,2025-12-23,04,11,23,26,29,30,33,35,44,46,49,50,55,56,58,60,62,65,69,80
2025342,2025-12-22,05,06,10,22,25,33,41,42,53,55,58,59,60,63,66,70,71,73,77,80
2025341,2025-12-21,04,08,09,11,15,19,21,23,24,25,26,37,38,43,45,46,52,63,64,74
2025340,2025-12-20,01,09,14,15,16,20,21,24,29,31,40,45,46,47,49,63,65,68,71,74
2025339,2025-12-19,03,06,07,09,14,19,25,26,31,32,35,36,37,38,60,62,66,67,68,75
2025338,2025-12-18,02,03,09,11,14,25,28,29,34,36,38,39,49,50,58,68,69,71,77,78
2025337,2025-12-17,03,06,08,10,16,20,28,32,33,43,46,48,49,53,60,68,69,76,77,78
2025336,2025-12-16,01,06,08,10,11,13,20,26,27,29,41,43,54,55,59,61,62,71,76,80
2025335,2025-12-15,02,05,13,14,16,17,27,34,39,45,48,50,55,57,58,60,74,76,78,79
2025334,2025-12-14,02,03,08,16,18,24,30,32,33,35,36,42,49,54,63,64,72,74,77,78
2025333,2025-12-13,04,09,11,16,19,20,22,24,28,32,33,37,38,41,46,49,66,71,72,74
2025332,2025-12-12,02,05,06,08,10,16,26,27,35,40,48,49,54,56,57,58,61,72,73,79
2025331,2025-12-11,05,06,07,08,14,18,22,23,25,31,40,52,59,63,71,72,73,76,77,79
2025330,2025-12-10,11,16,17,27,30,31,33,34,37,38,39,44,50,55,58,61,63,70,71,74
2025329,2025-12-09,02,04,10,11,15,17,18,23,26,27,30,33,41,48,52,54,55,59,60,69
2025328,2025-12-08,01,04,06,10,13,27,28,31,38,48,53,58,60,61,68,71,73,74,77,79
2025327,2025-12-07,06,07,10,15,16,17,19,21,22,25,27,35,36,40,44,45,47,56,62,74
2025326,2025-12-06,07,17,22,24,27,28,37,41,42,49,51,53,57,58,69,73,76,77,79,80
2025325,2025-12-05,05,08,10,15,16,17,19,22,26,34,37,41,47,55,57,62,63,65,67,75
2025324,2025-12-04,09,13,20,26,28,32,39,42,43,46,47,49,50,60,61,62,63,64,66,79
2025323,2025-12-03,01,13,18,19,22,24,35,40,44,45,50,51,53,54,57,63,69,71,73,75
